codDepartamento,departamento,codMunicipio,municipio,totalPoblacion,emisionesEnergia,emisionesIPPU,emisionesAgricultura,emisionesResiduos,emisionesDeforestacion,emisionesTotales,capturaBosques,balanceCarbono,emisionesPerCapita,balancePerCapita,IEC,clasificacion,cluster,perfil,latitud,longitud
68,SANTANDER,68013,AGUADA,1856,50.051358,100.95,276.01898057142853,15.40671150312136,2120.5264454466665,2562.953495521216,16915.74824279565,-14352.794747274433,1.3809016678454828,-7.733186825040104,50.52033272306227,Equilibrio,2,Mixto-Transición,6.25,-73.5167
68,SANTANDER,68020,ALBANIA,4137,102.67677,64.05,11705.485417142856,18.231873333333333,1852.5304459203344,13742.974506396524,54842.9016852684,-41099.92717887188,3.321966281459155,-9.93471771304614,43.06151353541901,Equilibrio,0,Agrícola-Ganadero,6.4333,-73.3167
68,SANTANDER,68051,ARATOCA,8431,848.393028,229458.0,6222.682702857143,75.74361197750294,336.2616294323132,236941.08097226697,33671.5011051295,203269.57986713748,28.103556039884587,24.109782928138717,92.15046973902513,Emisor,1,Mixto-Transición,6.6917,-73.0167
68,SANTANDER,68077,BARBOSA,31749,2674.810404,159.95000000000002,4896.677542857143,980.44568,2761.0550510454427,11472.938677902586,8582.140046420685,2890.798631481901,0.3613637808404228,0.0910516435630067,55.33761943371067,Equilibrio,1,Mixto-Transición,5.9333,-73.6167
68,SANTANDER,68079,BARICHARA,10964,671.65623,6618.85,10796.499391428571,230.12780990782423,201.77772626064413,18518.91115759704,23912.48940563561,-5393.578248038568,1.6890652277998028,-0.4919352652351849,53.03013855601334,Equilibrio,1,Mixto-Transición,6.6333,-73.2167
68,SANTANDER,68081,BARRANCABERMEJA,208608,48350.898792,409880.11,121659.96080987428,8546.036753333332,203178.7836847036,791615.7900399112,239698.2096075564,551917.5804323547,3.7947527901130886,2.645716273740004,99.8300112266469,Emisor,1,Mixto-Transición,7.0653,-73.8547
68,SANTANDER,68092,BETULIA,6158,526.945986,49107.645,21984.38007714285,138.0220177777778,38438.32161418761,110195.31469510825,129446.77136582656,-19251.45667071831,17.894659742628814,-3.1262514892364908,49.14611676365693,Equilibrio,2,Mixto-Transición,7.0833,-73.2833
68,SANTANDER,68101,BOLIVAR,11291,251.283564,53.2,114089.69253151998,39.95538499648771,253780.4861899749,368214.61767049134,129446.77136582656,238767.8463046648,32.61133802767614,21.14674043970107,94.59014039854642,Emisor,2,Mixto-Transición,6.0,-73.3
68,SANTANDER,68001,BUCARAMANGA,590543,114181.301556,21246.08,5527.308488571429,26365.806553333336,2049.150651330543,169369.64724923528,40396.43956273366,128973.2076865016,0.2868032425229581,0.2183976572180207,83.60622534243929,Emisor,3,Urbano-Industrial,7.1254,-73.1198
68,SANTANDER,68121,CABRERA,1984,66.632202,4205.7,10270.804048571426,25.468240000000005,2556.0510672325504,17124.655557803977,15727.01615332326,1397.6394044807166,8.631378809377004,0.7044553450003612,54.9231270292329,Equilibrio,0,Agrícola-Ganadero,6.5833,-73.2
68,SANTANDER,68132,CALIFORNIA,2187,163.664046,1007.0,1352.8424685714288,14.211166666666667,0.0,2537.717681238096,15477.71948689158,-12940.001805653485,1.1603647376488777,-5.916781804139682,50.91660733776704,Equilibrio,1,Mixto-Transición,7.35,-72.9667
68,SANTANDER,68147,CAPITANEJO,5665,330.137136,2886.715,3802.696428571429,144.2681437037037,0.0,7163.816708275132,16791.08479668675,-9627.26808841162,1.264574882308055,-1.6994294948652462,51.84525781744487,Equilibrio,1,Mixto-Transición,6.5167,-72.6833
68,SANTANDER,68152,CARCASI,4418,98.586684,14.7,21223.854177142857,4.05922222222222,100.87867961731736,21442.0787629824,51715.2139988067,-30273.135235824306,4.853345125165776,-6.852226173794546,46.0620785437311,Equilibrio,0,Agrícola-Ganadero,6.6167,-72.6167
68,SANTANDER,68160,CEPITA,2077,76.578138,5293.2,2034.6058571428573,3.014072363282974,437.0634733216686,7844.461540827809,19216.675095661936,-11372.213554834128,3.776823081765917,-5.475307440940842,51.356219694299234,Equilibrio,1,Mixto-Transición,6.7333,-72.9
68,SANTANDER,68162,CERRITO,6904,198.885834,23.45,22538.32673142857,21.11848148148148,537.7457761094144,23319.526823019467,29958.590728987696,-6639.063905968229,3.377683491167362,-0.9616257105979474,52.68185950367824,Equilibrio,0,Agrícola-Ganadero,6.3667,-72.6667
68,SANTANDER,68167,CHARALA,12613,737.763642,17770.9,44992.78176,225.9803732540014,3500.285698365179,67227.71147361917,148124.8215141057,-80897.11004048651,5.330033415810606,-6.413788158287997,32.6085144315585,Sumidero,0,Agrícola-Ganadero,6.2833,-73.1333
68,SANTANDER,68169,CHARTA,2986,114.655212,2483.45,6796.893154285714,3.786509999999999,1141.9762423627271,10540.76111864844,43748.64885213878,-33207.88773349034,3.530060655943885,-11.121194820324964,45.24497549775261,Equilibrio,0,Agrícola-Ganadero,7.2833,-72.9833
